Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
LMT,Lockheed Martin Corporation,134042140672.0,21.423647,2.34,0.89165,20537999360.0,0.105,Industrials,Aerospace & Defense,USD
GILD,"Gilead Sciences, Inc.",162596012032.0,,2.43,0.4336,22173999104.0,0.044,Healthcare,Drug Manufacturers - General,USD
NKE,"NIKE, Inc.",62358867968.0,20.016668,3.93,0.22138001,11043000320.0,-0.011,Consumer Cyclical,Footwear & Accessories,USD
CB,Chubb Limited,135257579520.0,12.427863,1.16,0.14822,25013999616.0,0.061,Financial Services,Insurance - Property & Casualty,USD
UPS,"United Parcel Service, Inc.",91953676288.0,20.107807,6.29,0.29602,28672999424.0,0.076,Industrials,Integrated Freight & Logistics,USD
ADI,"Analog Devices, Inc.",184834916352.0,56.384846,1.16,0.09639,8708730880.0,0.372,Technology,Semiconductors,USD
MMC,N/A,,,,,,,N/A,N/A,USD
MDT,Medtronic plc,109661216768.0,22.967775,3.37,0.098409995,29148999680.0,0.099,Healthcare,Medical Devices,USD
VRTX,Vertex Pharmaceuticals Incorporated,122128596992.0,29.010227,,0.23542999,1977600000.0,0.125,Healthcare,Biotechnology,USD
MU,"Micron Technology, Inc.",1039047327744.0,20.776989,0.06,0.66638,6376000000.0,3.457,Technology,Semiconductors,USD
SBUX,Starbucks Corporation,120098996224.0,60.89595,2.36,,22453100544.0,-0.014,Consumer Cyclical,Restaurants,USD
PLD,"Prologis, Inc.",134159990784.0,31.292875,3.08,0.07749,37093756928.0,0.123,Real Estate,REIT - Industrial,USD
GEV,GE Vernova Inc.,275918913536.0,29.744184,0.2,0.82577,3720000000.0,0.219,Industrials,Specialty Industrial Machinery,USD
LRCX,Lam Research Corporation,391887749120.0,53.998276,0.35,0.65066004,3734563072.0,0.3,Technology,Semiconductor Equipment & Materials,USD
MO,"Altria Group, Inc.",114210480128.0,14.400001,6.23,,24576999424.0,0.012,Consumer Defensive,Tobacco,USD
SO,The Southern Company,106793951232.0,22.369879,3.22,0.114829995,77086998528.0,0.001,Utilities,Utilities - Regulated Electric,USD
EQIX,"Equinix, Inc.",104056193024.0,67.774414,2.02,0.10735,23356000256.0,0.167,Real Estate,REIT - Specialty,USD
CRWD,"CrowdStrike Holdings, Inc.",216186617856.0,,,-0.0024899999,821342976.0,0.256,Technology,Software - Infrastructure,USD
